ip;domain;weight;url;file_hash;file_name;http_referrer;http_user_agent;description
ip:$1,domain:$2,weight:$3,url:$4,file_hash:$5,file_name:$6,http_referrer:$7,http_user_agent:$8,description:$9;;15;;abf27f5eceb8202c16420027ea683ff3;wsnzsvbn.pdf;;;Some file description
;idskqaexi.com;24;;;;;;Some domain description
;;24;;899755fec1dc6aaddf40df4a4186915c;fbhewyex.pdf;;;Some file description
;zwuhx.com;53;;;;;;Some domain description
;yszlyiyjrk.com;28;;;;;;Some domain description
;;38;;4970148afb8a7fe32e124e954f35bf19;hborsrct.pdf;;;Some file description
;djsage.com;96;;;;;;Some domain description
;;68;;0eac6e0e50aace8ec4d386a46d971977;zbeznnsk.dll;;;Some file description
;;86;https://qkpepdnw.com/xgtxz;;;;;Some URL description
;;22;https://zwifweq.com/aqhyu;;;;;Some URL description
;;54;https://wsrzzgtdim.com/wxfme;;;;;Some URL description
;evvzleq.com;27;;;;;;Some domain description
;;27;;397c9c4318a95aa0c89545263e3e86e6;soflyfde.dll;;;Some file description
;;30;https://qnbciemf.com/tszek;;;;;Some URL description
;;28;;cf5b37db76e040e7d6656f5cd6c8a12c;easivjwt.txt;;;Some file description
;cdffye.com;15;;;;;;Some domain description
;;31;https://ovzyxirzdj.com/nlfle;;;;;Some URL description
;;6;;bd7e069278996209bf68125693cf486f;boomllfb.txt;;;Some file description
;kaxrq.com;66;;;;;;Some domain description
33.93.50.112;;78;;;;;;Some IP description
;wjgszlmt.com;33;;;;;;Some domain description
239.238.86.4;;28;;;;;;Some IP description
;jsbzqpky.com;17;;;;;;Some domain description
;;7;;b7ae00354432da1d0c1c6d5df00cfa2a;jyqsdqso.txt;;;Some file description
249.54.198.230;;78;;;;;;Some IP description
215.228.181.239;;97;;;;;;Some IP description
;;52;https://erkzl.com/aufyw;;;;;Some URL description
128.43.221.180;;20;;;;;;Some IP description
;hdmzgefhi.com;90;;;;;;Some domain description
223.13.214.88;;39;;;;;;Some IP description
;;64;https://hoyfmusd.com/djnja;;;;;Some URL description
93.254.232.240;;56;;;;;;Some IP description
;tjucoc.com;36;;;;;;Some domain description
;;81;https://chbdujpaa.com/yvbyn;;;;;Some URL description
;khjdm.com;1;;;;;;Some domain description
251.250.233.8;;78;;;;;;Some IP description
;;32;https://bmbwp.com/mevsf;;;;;Some URL description
;;79;https://hecolqcmv.com/enspd;;;;;Some URL description
;;21;;442b5ffbcc24a28b26c17962799ee7e4;fzdjvwdi.dll;;;Some file description
101.119.69.159;;54;;;;;;Some IP description
;;32;https://fybgm.com/swhma;;;;;Some URL description
46.43.136.111;;75;;;;;;Some IP description
;gvcem.com;3;;;;;;Some domain description
212.187.147.72;;68;;;;;;Some IP description
;emjmcsidv.com;7;;;;;;Some domain description
;;90;;ae2a9b2de93aaa31ff7e5c3cf9948ddf;fqepggbb.dll;;;Some file description
63.231.129.10;;53;;;;;;Some IP description
;;60;https://mwrtudl.com/jgwnt;;;;;Some URL description
47.32.57.140;;53;;;;;;Some IP description
99.212.156.109;;72;;;;;;Some IP description
80.251.89.253;;27;;;;;;Some IP description
;;28;https://prunm.com/elhud;;;;;Some URL description
;ejpcdisqst.com;74;;;;;;Some domain description
;;68;;4870bfef32940500f242356064fc9a32;xkbulpyi.dll;;;Some file description
;;49;https://hlnmx.com/ldmzg;;;;;Some URL description
163.230.134.87;;60;;;;;;Some IP description
;;78;https://fbzwfssgs.com/mghze;;;;;Some URL description
;;35;https://hiwueqiye.com/tkrdk;;;;;Some URL description
;;47;;f0f37d6a7724fcad2d7eaf97401f98c5;mozbwwbq.txt;;;Some file description
;hnatoaygbq.com;38;;;;;;Some domain description
;;68;https://nmxuk.com/usklu;;;;;Some URL description
;drgyyrke.com;86;;;;;;Some domain description
;;12;https://kwiyfys.com/wovcn;;;;;Some URL description
191.45.29.214;;30;;;;;;Some IP description
;;95;https://iwjaek.com/ahfym;;;;;Some URL description
;;67;;783c69bdc003ed8dae97b6b99b7c8a47;rwwbwgou.txt;;;Some file description
;nakxggepw.com;36;;;;;;Some domain description
199.62.9.137;;70;;;;;;Some IP description
;wadvwdua.com;25;;;;;;Some domain description
;;35;https://pbiumhmchu.com/pzcby;;;;;Some URL description
;;83;;3aa690bd9d0c2b237da21bec68e38ce2;jvbtrjcc.exe;;;Some file description
;;25;https://akpxtuls.com/qltss;;;;;Some URL description
;;6;;29e1e35b51c56b79eccc1797165fe782;nlckkruw.pdf;;;Some file description
;;13;;41185870b3a0c404368f886577c9661a;ulkefqej.pdf;;;Some file description
;aeauolfkrs.com;45;;;;;;Some domain description
;;20;;89ff84e09b2321b06188152764ed1c25;enirejdm.exe;;;Some file description
;;61;;b3946d75a86ead45ad186de111e067d8;blmvmsty.pdf;;;Some file description
;hqcvr.com;100;;;;;;Some domain description
174.182.68.131;;20;;;;;;Some IP description
;;12;;c17a59cb71734ab4cc633442a1770e50;yoxogvcf.exe;;;Some file description
;oxeeg.com;29;;;;;;Some domain description
;;68;;43ebaa529a38ef1a4defa465e99e3a6a;ksjaromb.dll;;;Some file description
28.198.26.32;;59;;;;;;Some IP description
180.127.129.23;;26;;;;;;Some IP description
240.202.40.253;;42;;;;;;Some IP description
;iqpmsf.com;84;;;;;;Some domain description
;;93;https://xjolyo.com/yvtjp;;;;;Some URL description
;;93;;2acbd2ea4828ecf743dff38ccf7dc3fe;hbgjweof.pdf;;;Some file description
;zibkjxr.com;16;;;;;;Some domain description
;;14;https://licoq.com/tcuog;;;;;Some URL description
;ynqmikw.com;23;;;;;;Some domain description
;cyqkrjgyf.com;99;;;;;;Some domain description
;;43;;ea53df5d8b793ff55354d467ca28d68f;jfbzpvwz.txt;;;Some file description
;;5;;04d78a1087589e5530d73d36a7c66310;wfusaltj.dll;;;Some file description
;bevmqpgcll.com;51;;;;;;Some domain description
;;65;;6b8f23c89e621fe9c49c0bc5d2c9ad29;lobwlhye.dll;;;Some file description
172.34.206.1;;95;;;;;;Some IP description
;;86;;8078c3cd298d6e5c2cd3241e72354bb7;tjveymca.txt;;;Some file description
;lpwrrlbmqn.com;14;;;;;;Some domain description
;;5;;eaa12bc1ba2f195869eb476ffaad4e48;odxamfuu.dll;;;Some file description
;;59;;41b368c8f9489af37c454da1f053e76e;eximrxyh.exe;;;Some file description
103.11.184.118;;63;;;;;;Some IP description
;;4;;f30143a38f017eb9b3ba0403cbd19f3b;qypcqmct.pdf;;;Some file description
196.119.10.86;;48;;;;;;Some IP description
;;49;;97fdeec80b1f1eb851630550e88582f8;pgpglqdp.dll;;;Some file description
;;3;https://aibizj.com/vsakn;;;;;Some URL description
;;26;https://hjfgvn.com/vmuio;;;;;Some URL description
;;19;;725f2395f5d954eb2fb451c614cf13d0;fogngidd.exe;;;Some file description
249.253.160.8;;38;;;;;;Some IP description
;;3;https://exbjwvw.com/srcda;;;;;Some URL description
;sfqgnson.com;5;;;;;;Some domain description
;;3;https://kbdbs.com/mhfwt;;;;;Some URL description
;;65;https://ebfddjhryd.com/itksl;;;;;Some URL description
;;23;https://psxdafckbx.com/gcinp;;;;;Some URL description
;kpobbc.com;66;;;;;;Some domain description
;diftj.com;22;;;;;;Some domain description
;ydowjlrt.com;93;;;;;;Some domain description
;bcqsbzdzvg.com;99;;;;;;Some domain description
;;72;https://qslhgcx.com/ztrvl;;;;;Some URL description
;;10;;f775bc7d5da2cb74e6f3d9e8d2c115b3;hlodumpm.pdf;;;Some file description
;;70;https://xniagevyia.com/sszrk;;;;;Some URL description
;;29;;15f516e75021e2c9f314bd08b4d5bc3a;gxnonutq.dll;;;Some file description
;;48;;4d2e420d2c581b1581458dfb990e9105;yxcbhecy.dll;;;Some file description
;;19;https://zuqquu.com/ssnsg;;;;;Some URL description
;;32;https://lpqpkjpfue.com/vemov;;;;;Some URL description
;cebzs.com;88;;;;;;Some domain description
;;62;https://osfqvd.com/jmqfm;;;;;Some URL description
;;99;;d38b6af2d5c930724da01db42a55f328;ktduodza.exe;;;Some file description
;;82;https://nhtqusvhf.com/wafxm;;;;;Some URL description
;;11;https://xzmundsxdb.com/nzoeh;;;;;Some URL description
;;99;;e7c6a8d536f6aa7c3a058ba9e29176ad;swdcgrty.pdf;;;Some file description
;klcqsgjluy.com;62;;;;;;Some domain description
;izqgk.com;11;;;;;;Some domain description
;pxwgbok.com;5;;;;;;Some domain description
;;65;;d4071a5bdac080c13fb9d2383c7b81bd;losvhxrj.exe;;;Some file description
209.174.217.25;;11;;;;;;Some IP description
;;69;https://ytnmqel.com/dirhe;;;;;Some URL description
;owuzlnp.com;20;;;;;;Some domain description
;;25;;fc3acc6f4156fe7e4a8c9dff32b64855;lkjlcgjh.txt;;;Some file description
;fwmynqfzp.com;8;;;;;;Some domain description
;;56;https://svojkt.com/kzfxi;;;;;Some URL description
;xbfsxnhfz.com;11;;;;;;Some domain description
;;17;https://ahfnmvpq.com/vdgju;;;;;Some URL description
;;72;;b1a41d2543302ed893a286c9e3cc6f54;gzfjvxmr.exe;;;Some file description
;;21;https://ifoovad.com/entmk;;;;;Some URL description
144.254.57.6;;10;;;;;;Some IP description
253.211.166.162;;19;;;;;;Some IP description
;sszzjyioh.com;92;;;;;;Some domain description
;;37;https://cabcd.com/tcjru;;;;;Some URL description
;uqiuht.com;86;;;;;;Some domain description
;;39;;4d0d121da23c5af00bdd24324c5efbf2;mjbiloju.pdf;;;Some file description
157.46.111.164;;98;;;;;;Some IP description
;;56;https://qetno.com/gmbpr;;;;;Some URL description
;gdwjyaa.com;17;;;;;;Some domain description
;;95;;28c6f8c1cd1c8bdf0b4db6e23fde4052;quyipqhq.pdf;;;Some file description
;;1;https://nxszmt.com/dfuoh;;;;;Some URL description
;;85;;7b17d51525508ff9e1e52e6688e467f0;zqdiepdw.exe;;;Some file description
106.116.220.31;;94;;;;;;Some IP description
214.101.81.195;;56;;;;;;Some IP description
180.130.111.212;;23;;;;;;Some IP description
;iqjvcqbtb.com;98;;;;;;Some domain description
223.249.145.96;;50;;;;;;Some IP description
;;53;https://jngkw.com/aucij;;;;;Some URL description
2.99.27.233;;31;;;;;;Some IP description
;;84;https://xtdjl.com/pjuyt;;;;;Some URL description
;;35;;dd243bcc3be338d2b4379e64d24cd9e3;uttwykhb.dll;;;Some file description
;mrdque.com;30;;;;;;Some domain description
;;11;https://gylsgpv.com/cykag;;;;;Some URL description
;;80;https://azdiqzgjp.com/auags;;;;;Some URL description
;;54;https://zabyue.com/ifkfj;;;;;Some URL description
;;64;https://riipftls.com/xibha;;;;;Some URL description
151.209.50.232;;38;;;;;;Some IP description
45.207.132.92;;65;;;;;;Some IP description
;;47;https://xoaezldkaj.com/vitht;;;;;Some URL description
;pjmvgdr.com;85;;;;;;Some domain description
;;58;https://ioonc.com/zrllb;;;;;Some URL description
;;97;https://bvfnz.com/wvamq;;;;;Some URL description
;otrdf.com;34;;;;;;Some domain description
;;81;;67a0b8dd41fc10039b4321fecd472a98;zvkjlwwk.dll;;;Some file description
;;73;https://obtmg.com/xejtr;;;;;Some URL description
56.154.105.25;;24;;;;;;Some IP description
;;22;;82d4f7e4ed0cb88d765f7cb3f688a9b0;xcwobahi.dll;;;Some file description
;esqyxtv.com;80;;;;;;Some domain description
;gffquvcxj.com;59;;;;;;Some domain description
;;84;;43999027a1b2bc6bb78d198f6795544c;lzaavnuz.dll;;;Some file description
19.204.115.42;;48;;;;;;Some IP description
;heyipkie.com;64;;;;;;Some domain description
;;69;;95de20fc42d62101a8cd708ceb148d18;rnavhyuy.txt;;;Some file description
